Film,Developer,Dilution,ASA/ISO,35mm,120,Sheet,Temp,Notes
CHM 100 Universal,510-Pyro,1+100,100,11.75,,,20C,
CHM 100 Universal,Adox HR-DEV,1+35,160,10,,,20C,[notes]
CHM 100 Universal,Atomal 49,1+2,100,22,,,20C,
CHM 100 Universal,Atomal 49,stock,160,9.5,,,20C,
CHM 100 Universal,D-76,stock,100,9,,,20C,
CHM 100 Universal,FX-39,1+9,100,8,,,20C,
CHM 100 Universal,HC-110,B,100,6.5,,,20C,
CHM 100 Universal,ID-11,stock,100,9,,,20C,
CHM 100 Universal,Microphen,stock,200,9,,,20C,
CHM 100 Universal,Rodinal,1+24,80,5.5,,,20C,
CHM 100 Universal,Rodinal,1+50,80,10,,,20C,
CHM 100 Universal,Silvermax,1+24,100,8.5,,,20C,
CHM 100 Universal,SP-Ultra 4LF,1+9,125,6.5,,,20C,
CHM 100 Universal,Spur Speed-Major,1+35,200,8.5,,,20C,[notes]
CHM 100 Universal,Spur Speed-Major,1+24,400,11,,,20C,[notes]
CHM 100 Universal,Spur Speed-Major,1+14,640,12,,,20C,[notes]
CHM 100 Universal,Spur Speed-Major,1+9,1000,13,,,20C,
CHM 100 Universal,Spur TRX 2000,1+35,160,10,,,20C,[notes]
CHM 100 Universal,XT-3,stock,100,8,,,20C,
CHM 400 Universal,510-Pyro,1+100,400,11,,,20C,
CHM 400 Universal,510-Pyro,1+100,1600,25,,,20C,
CHM 400 Universal,Adox HR-DEV,1+24,100,13.5,,,20C,[notes]
CHM 400 Universal,FX-39,1+9,400,11,,,20C,
CHM 400 Universal,FX-39,1+9,800,16.5,,,21C,
CHM 400 Universal,JOBO Alpha,1+1+18,100,8,,,22C,[notes]
CHM 400 Universal,JOBO Alpha,1+1+18,400,15,,,22C,[notes]
CHM 400 Universal,Spur Speed-Major,1+24,400,9,,,20C,[notes]
CHM 400 Universal,Spur Speed-Major,1+20,500,11,,,20C,[notes]
CHM 400 Universal,Spur Speed-Major,1+11,800,11,,,20C,[notes]
CHM 400 Universal,Spur Speed-Major,1+9,1000,13,,,20C,
CHM 400 Universal,Spur Speed-Major,1+7,1600,15,,,20C,
CHM 400 Universal,Spur TRX 2000,1+24,100,13.5,,,20C,[notes]
Adox CHS 100,ABC Pyro,stock,100,6,6,6,20C,
Adox CHS 100,Acufine,stock,100,3,3,3,20C,
Adox CHS 100,Acufine,stock,250,3.25,3.25,3.25,20C,
Adox CHS 100,Acurol-N,1+50,50,9.5,9.5,9.5,20C,[notes]
Adox CHS 100,Amaloco AM74,1+15,100,7.5,7.5,7.5,20C,
Adox CHS 100,Atomal 49,stock,100,8,8,8,20C,
Adox CHS 100,Atomal 49,1+1,100,12,12,12,20C,
Adox CHS 100,Atomal 49,1+2,100,15,15,15,20C,
Adox CHS 100,BW-TNEG,stock,3,8,,,20C,
Adox CHS 100,D-76,stock,100,7,7,7,20C,
Adox CHS 100,D-76,1+1,100,10,10,10,20C,
Adox CHS 100,Eco Pro,1+2,64,8.5,8.5,8.5,20C,
Adox CHS 100,Eco Pro,1+2,80,11.75,11.75,11.75,20C,
Adox CHS 100,Eco Pro,stock,100,8.5,8.5,8.5,20C,
Adox CHS 100,Emofin,stock,100,4+4,4+4,4+4,20C,
Adox CHS 100,Emofin,stock,400,4+4,4+4,4+4,20C,[notes]
Adox CHS 100,F76+,1+4,64,12,12,12,20C,
Adox CHS 100,F76+,1+9,100,13.5,13.5,13.5,20C,[notes]
Adox CHS 100,F76+,1+19,100,22.5,22.5,22.5,20C,[notes]
Adox CHS 100,Finol,1+1+100,80,13.5,13.5,13.5,24C,
Adox CHS 100,Fomadon LQN,1+10,100,9,9,9,20C,
Adox CHS 100,Fomadon R09,1+50,100,9.5,9.5,9.5,20C,
Adox CHS 100,Fomadon R09,1+100,100,19,19,19,20C,
Adox CHS 100,FX-39,1+9,100,7,7,7,20C,[notes]
Adox CHS 100,FX-39,1+14,100,11,11,11,20C,[notes]
Adox CHS 100,HC-110,B,100,5.5,5.5,6,20C,[notes]
Adox CHS 100,HC-110,H,100,11,11,11,20C,[notes]
Adox CHS 100,ID-11,stock,100,7,7,7,20C,
Adox CHS 100,ID-11,1+1,100,10,10,10,20C,
Adox CHS 100,Ilfosol 3,1+9,100,5.5,5.5,5.5,20C,
Adox CHS 100,Ilfotec DD-X,1+4,100,7,7,7,20C,[notes]
Adox CHS 100,Ilfotec DD-X,1+9,100,13,13,13,20C,[notes]
Adox CHS 100,Ilfotec LC29,1+29,100,11,11,11,20C,
Adox CHS 100,Microdol-X,1+3,100,17,17,17,25C,
Adox CHS 100,Microphen,1+3,100,18,18,18,21C,
Adox CHS 100,Neofin Blue,stock,100,15,15,15,20C,[notes]
Adox CHS 100,PC-TEA,1+50,100,10.5,10.5,10.5,20C,[notes]
Adox CHS 100,Perceptol,1+3,50,23,23,23,20C,
Adox CHS 100,PMK,1+2+100,50,12,12,12,21C,[notes]
Adox CHS 100,PMK,1+2+100,100,10,10,10,20C,[notes]
Adox CHS 100,Pyrocat-HD,2+2+100,100,8,8,8,20C,
Adox CHS 100,Rodinal,1+50,50,9,9,9,20C,
Adox CHS 100,Rodinal,1+25,80,5,5,5,20C,
Adox CHS 100,Rodinal,1+25,100,6,6,6,20C,
Adox CHS 100,Rodinal,1+50,100,10,10,10,20C,
Adox CHS 100,Rodinal,1+100,100,16,16,16,20C,
Adox CHS 100,Rodinal,1+25,160,8,8,8,20C,
Adox CHS 100,Rodinal,1+50,200,14,14,14,20C,
Adox CHS 100,Rodinal,1+50,400,24,24,24,20C,
Adox CHS 100,Silberra Ascorol,1+29,100,7,7,7,20C,
Adox CHS 100,Sprint Standard,1+9,100,10,10,10,20C,
Adox CHS 100,Tanol,1+1+100,80,14,14,14,22C,[notes]
Adox CHS 100,Tanol,2+3+130,100,12,12,12,20C,[notes]
Adox CHS 100,TMax Dev,1+4,100,7,7,7,20C,
Adox CHS 100,TMax Dev,1+9,100,6,6,6,24C,
Adox CHS 100,TMax RS,stock,80,4,4,4,20C,
Adox CHS 100,TMax RS,stock,100,6,6,6,20C,
Adox CHS 100,Ultrafin,1+10,100,3.5,3.5,3.5,20C,[notes]
Adox CHS 100,Ultrafin,1+20,100,5,5,5,20C,[notes]
Adox CHS 100,Ultrafin,1+30,100,7,7,7,20C,[notes]
Adox CHS 100,WD2D+,stock,100,9.5,9.5,9.5,20C,
Adox CHS 100,XT-3,1+2,64,8.5,8.5,8.5,20C,
Adox CHS 100,XT-3,1+2,80,11.75,11.75,11.75,20C,
Adox CHS 100,XT-3,stock,100,8.5,8.5,8.5,20C,
Adox CHS 100,Xtol,1+2,64,8.5,8.5,8.5,20C,
Adox CHS 100,Xtol,1+2,80,11.75,11.75,11.75,20C,
Adox CHS 100,Xtol,stock,100,8.5,8.5,8.5,20C,
Adox CHS 100 II,510-Pyro,1+100,100,8,8,8,20C,
Adox CHS 100 II,510-Pyro,1+100,200,13,,,20C,
Adox CHS 100 II,ADX II,1+24,100,10,10,10,20C,
Adox CHS 100 II,Amaloco AM74,1+15,100,7.5,7.5,6.75,20C,
Adox CHS 100 II,Ars-Imago FD,1+39,100,6,6,6,20C,[notes]
Adox CHS 100 II,Atomal 49,stock,100,6.5,6.5,5.75,20C,[notes]
Adox CHS 100 II,Atomal 49,1+1,100,10,10,9,20C,
Adox CHS 100 II,Caffenol C-H (rs),stock,100,12.5,12.5,12.5,20C,
Adox CHS 100 II,D-76,stock,100,6.5,6.5,5.75,20C,
Adox CHS 100 II,D-76,1+1,100,9,9,8,20C,
Adox CHS 100 II,Eco Pro,1+1,100,8,8,7.25,20C,
